Raster,Red,Green,Blue,NIR,FC,c_depth,CH,vol_cd,VOL_CH,BNDVI,GBNDVI,GNDVI,NDVI,NDVIf,EVI,EVI2,SAVI,OSAVI,TSAVIm,TSAVIg,MSR,SR,LAI
RIP_180805_1044_0022,0.046876176,0.057313748,0.035809688,0.421333179,0.416666667,0.724865036,1.21649749,1.087297554,1.824746236,0.843332619,0.637973608,0.760517639,0.799764033,0.508235014,0.652811039,0.610327639,0.580128151,0.596070401,6.730936945,2.721184639,2.527585309,8.988215563,3.14
RIP_180805_1044_0023,0.042236609,0.054397443,0.035773203,0.439216064,0.477430556,0.607096558,1.147506418,1.043447208,1.972276656,0.849372586,0.659339218,0.779595,0.824545127,0.550433871,0.696779518,0.644202904,0.606722259,0.618875674,5.593227732,2.611120627,2.783855632,10.39894243,3.7
RIP_180805_1044_0024,0.042024698,0.053256293,0.035946388,0.453143091,0.40625,0.671396179,1.108902481,0.981916912,1.621769878,0.853006905,0.671048672,0.789666834,0.830260777,0.515418441,0.71588823,0.661386369,0.619671975,0.627500924,4.768550374,2.463578198,2.849957701,10.78278045,4.08
RIP_180805_1044_0025,0.046761832,0.055038867,0.035158739,0.430355664,0.381944444,0.479524651,0.987457268,0.659346395,1.357753743,0.84894672,0.653454849,0.773220077,0.803981903,0.492493088,0.662631738,0.621674115,0.588865465,0.602077066,5.840946118,2.603318814,2.568107431,9.203139585,3.31
RIP_180805_1044_0026,0.043277924,0.054677051,0.036564618,0.432177002,0.446180556,0.696873627,1.228897891,1.119353263,1.973917237,0.843988174,0.651362575,0.775386277,0.817951519,0.531099896,0.685835849,0.632955621,0.598027241,0.612001045,6.060415869,2.672588344,2.711121809,9.986084501,3.29
RIP_180805_1044_0027,0.043875821,0.054645551,0.036067795,0.422886621,0.435763889,0.658845901,1.168154061,1.033564508,1.832541683,0.842826244,0.646754863,0.771133533,0.811999351,0.523110828,0.669330923,0.620032767,0.588061943,0.604712048,6.974382146,2.786411296,2.648445292,9.63826117,3.19
RIP_180805_1044_0028,0.040180084,0.050577429,0.036460806,0.439539014,0.442708333,0.54578186,1.132883649,0.86983984,1.805533315,0.846803277,0.669418929,0.79361056,0.83248495,0.535735525,0.709510546,0.650010439,0.611438927,0.624272326,5.766726416,2.659742216,2.876500633,10.93922579,3.28
RIP_180805_1044_0029,0.046873557,0.053984564,0.037646915,0.418797461,0.453125,0.609753418,1.133540916,0.994660263,1.84908862,0.835042705,0.640962838,0.771630217,0.798683814,0.525966103,0.655863953,0.607205255,0.577718339,0.59444004,7.048906198,2.758589023,2.517390184,8.934620968,3.48
RIP_180805_1044_0030,0.045554578,0.053851608,0.035432335,0.410045361,0.4375,0.733601646,1.226487528,1.155422593,1.931717857,0.840924315,0.642384525,0.767829446,0.800023776,0.518760402,0.642781795,0.599737491,0.572139191,0.592090351,8.783117342,2.945433529,2.530047709,9.001188961,3.04
RIP_180805_1044_0031,0.043603865,0.056563651,0.036858539,0.433331226,0.489583333,0.802466049,1.306713979,1.414346412,2.303083388,0.843218455,0.645290617,0.769078416,0.817149688,0.553187868,0.686857836,0.633505041,0.598392919,0.611879242,5.923566772,2.648914855,2.702519052,9.937908602,3.54
